deptime,avg_arrdelay
1958,18.06503220444629
2049,18.065805216558985
2019,18.066634359098618
2036,18.076883910386965
1947,18.08686823104693
2103,18.184915413533833
2048,18.205549389567146
2111,18.247193944139912
2043,18.253297563156718
2104,18.28530050687907
1932,18.312108348494036
2052,18.352806414662084
1953,18.36078431372549
2037,18.407057195571955
1956,18.42008423852804
2041,18.422951641192682
2032,18.486595492289442
1934,18.537687366167024
2018,18.66637949601551
1939,18.70338248048569
2012,18.710186832740213
2114,18.756856023506366
1959,18.79589912797549
2107,18.804162724692524
1951,18.899665551839465
1944,19.003628940802905
2008,19.15305422100206
2042,19.153672825597116
1946,19.15772716140093
2113,19.222882615156017
1936,19.302232142857143
1952,19.365510990256062
1948,19.40173839304643
2022,19.444119795471146
1943,19.50896551724138
2046,19.55627651609683
2014,19.596046511627907
2112,19.63348416289593
1941,19.67321985135459
2125,19.693660947949986
2116,19.705426356589147
2047,19.718935614160134
2102,19.8646652370741
1942,19.92391304347826
2033,20.268974042027192
2002,20.384855769230768
2001,20.424146147736298
2119,20.473216763807937
2126,20.55866745283019
2003,20.609845701689935
2135,20.656571023733616
2007,20.69826533105302
2120,20.72702586822924
2121,20.83914546025762
2004,20.859434682964096
2254,20.88681260010678
2009,20.89398136489549
2031,21.165184586364862
2017,21.16639439906651
2034,21.21557478368356
2006,21.272848034006376
2122,21.491019618679193
2124,21.614849833147943
2249,21.78932893289329
2145,21.91849957374254
2117,22.10455689124965
2150,22.206908644573033
2123,22.370236439499305
2118,22.734059945504086
2129,23.01698647373388
2127,23.32136602451839
2351,23.447004608294932
2130,23.50991722630017
2227,23.6555070354197
2128,23.677071178529754
2255,23.749105109013993
2253,23.822545846817693
2258,24.292629262926294
2247,24.309043927648577
2252,24.427956989247313
2248,24.56074270557029
2251,24.762073027090693
2155,24.76659793814433
2226,24.97441970630033
2244,25.069654427645787
2250,25.283267054145
2246,25.31541906589891
2131,25.467222432739675
2140,25.574612403100776
2149,25.67931169339069
2143,25.705547652916074
2144,25.787610619469028
2229,26.06484295845998
2224,26.73578431372549
2228,26.83213321332133
2241,26.96523898199876
2256,27.052095808383232
2153,27.097648465524113
56,27.12171052631579
2257,27.16077537058153
2243,27.181521739130435
51,27.300911854103344
2222,27.368674698795182
2223,27.379209370424597
2141,27.39239448391141
2134,27.464862833521234
2142,27.528504840444604
2242,27.62603062426384
2132,27.69782683684029
2301,27.768488745980708
2151,27.795737122557725
2154,27.874899436846338
2148,27.931465354032564
2133,27.974443227455275
2259,28.193486590038315
2349,28.198630136986303
2231,28.215709261430245
2236,28.486119679210365
402,29.0
2225,29.05980362987206
2136,29.068181818181817
2354,29.08180708180708
2138,29.26269315673289
2245,29.311942959001783
2159,29.374107567824844
49,29.390092879256965
2137,29.405405405405407
2239,29.477860839562968
2221,29.570720968629608
2347,29.582417582417584
2139,29.585471772601657
2147,29.588844621513942
2209,29.644386422976503
2219,29.716544325239976
2230,29.762910128388018
2156,29.772641509433964
2233,29.985371562317145
448,30.083333333333332
2234,30.14911308203991
2146,30.224168126094572
2353,30.309278350515463
2200,30.473582474226806
2207,30.607496095783446
2214,30.655755015839492
2352,30.709338929695697
2346,30.888059701492537
2152,30.938728323699422
52,31.121739130434783
2238,31.227673649393605
2235,31.270125223613597
2237,31.587597832630944
2216,31.59472817133443
57,31.59807073954984
2302,31.63939393939394
2208,31.66749875187219
2211,32.13936291240046
2206,32.162460567823345
2218,32.63960880195599
2217,32.746419098143235
2232,32.918260869565216
53,32.95626822157434
2357,33.199430199430196
2157,33.288971614704515
2220,33.37418147801684
2356,33.64928292046936
2210,33.792403595245
2203,33.869565217391305
2201,33.90808609656777
2158,34.0175034546292
2305,34.13409415121255
2303,34.13833992094862
2205,34.22269746221842
2215,34.81075888568684
2213,34.83198271204754
2304,35.07450980392157
111,35.29611650485437
2240,35.2970007315289
109,35.40758293838863
2300,35.53798165137615
54,35.58383233532934
2204,35.84299262381454
358,36.0
27,36.11694510739857
2212,36.228410832907514
2310,36.23547880690738
2308,36.50377200335289
2348,36.79123414071511
2314,36.796451914098974
2350,37.15614617940199
2202,37.4936170212766
238,37.793103448275865
2312,38.02032176121931
2311,38.16856060606061
2309,38.305475504322764
55,39.01923076923077
2306,39.21456310679611
2342,39.23179791976226
2307,39.28352835283528
2313,39.38549955791335
37,39.81818181818182
2322,39.92718446601942
2344,40.011126564673155
36,40.51289398280802
26,40.80684596577017
45,40.84823848238482
34,40.873111782477345
28,41.067146282973624
447,41.142857142857146
432,41.5
2326,41.56032482598608
227,41.63265306122449
2323,42.04117009750813
2355,42.15267947421638
104,42.16230366492147
107,43.353191489361706
29,43.38826815642458
2329,43.4621409921671
2345,43.51996527777778
2319,43.575178997613364
106,43.586497890295355
31,43.615625
58,43.68928571428572
2321,44.06013071895425
2358,44.089258698941
2343,44.094476744186046
2327,44.19720101781171
258,44.285714285714285
2317,44.30937880633374
32,44.34530386740332
2341,45.10880829015544
2328,45.51093210586882
48,45.5121107266436
2315,45.59435736677116
59,45.71320754716981
47,45.749128919860624
50,46.002583979328165
108,46.14644351464435
2316,46.162412993039446
38,46.33860759493671
2339,46.43655589123867
102,46.95614035087719
2359,47.23668639053255
46,47.34090909090909
24,47.35588235294118
39,47.37179487179487
2318,47.405162738496074
23,47.524844720496894
6,48.21287128712871
35,48.527352297593
237,48.64705882352941
9,49.02528735632184
11,49.042821158690174
243,49.05882352941177
2324,49.20822622107969
33,49.836012861736336
112,49.90769230769231
2325,50.20995475113122
43,50.329861111111114
101,50.38139534883721
2330,50.9448051948052
4,51.05399061032864
7,51.06759906759907
2,51.17219917012448
232,51.214285714285715
2337,51.813397129186605
103,51.93981481481482
2320,52.08692307692308
443,52.8
2338,52.8957345971564
3,53.27790973871734
2334,53.448028673835125
2336,53.59967585089141
126,53.86065573770492
229,54.22222222222222
21,54.31270358306189
113,54.33116883116883
239,54.42424242424242
25,54.88461538461539
2331,55.01533219761499
2333,55.944839857651246
22,56.22289156626506
208,56.3125
223,56.51724137931034
2340,56.659188034188034
30,56.833688699360344
2335,56.85091743119266
41,57.29370629370629
40,57.46825396825397
244,57.51724137931034
114,58.518248175182485
100,58.53191489361702
2332,58.626959247648905
44,59.18909090909091
17,59.19881305637982
236,59.35
2402,59.370370370370374
10,60.19028340080972
2411,60.5
2400,60.51162790697674
110,60.51394422310757
129,60.53703703703704
256,60.53846153846154
12,60.9023746701847
42,61.18283582089552
13,61.267857142857146
8,61.46244131455399
1,61.62931034482759
18,61.81188118811881
16,62.286144578313255
442,62.833333333333336
2408,62.96875
14,63.13659793814433
105,63.406976744186046
302,63.75
116,64.04132231404958
5,64.54253308128544
2407,65.05882352941177
20,65.79809976247031
235,67.5
19,67.63414634146342
151,67.69444444444444
234,68.9047619047619
228,69.0
